OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001292","Sample-Routine","Water","Surface Water","2010-04-20","15:10:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"3.56","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001292","Sample-Routine","Water","Surface Water","2010-04-20","15:10:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"1.09","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001292","Sample-Routine","Water","Surface Water","2010-04-20","15:10:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","285","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001292","Sample-Routine","Water","Surface Water","2010-04-20","15:10:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"14.0","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001293","Sample-Routine","Water","Surface Water","2010-06-03","17:53:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","299","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001293","Sample-Routine","Water","Surface Water","2010-06-03","17:53:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"1.34","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001293","Sample-Routine","Water","Surface Water","2010-06-03","17:53:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"377","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001293","Sample-Routine","Water","Surface Water","2010-06-03","17:53:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"68.0","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001293","Sample-Routine","Water","Surface Water","2010-06-03","17:53:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"13.9","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001293","Sample-Routine","Water","Surface Water","2010-06-03","17:53:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"4.40","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001294","Sample-Routine","Water","Surface Water","2010-07-23","15:31:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"395","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001294","Sample-Routine","Water","Surface Water","2010-07-23","15:31:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"4.36","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001294","Sample-Routine","Water","Surface Water","2010-07-23","15:31:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"68.0","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001294","Sample-Routine","Water","Surface Water","2010-07-23","15:31:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"18.0","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001294","Sample-Routine","Water","Surface Water","2010-07-23","15:31:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"1.33","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001294","Sample-Routine","Water","Surface Water","2010-07-23","15:31:00","MDT",,,,,,,,,,,"971600101","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","214","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001695","Sample-Routine","Water","Surface Water","2010-08-26","12:28:00","MDT",,,,,,,,,,,"GC11ZK00D","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"14.0","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001695","Sample-Routine","Water","Surface Water","2010-08-26","12:28:00","MDT",,,,,,,,,,,"GC11ZK00D","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"66.0","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001695","Sample-Routine","Water","Surface Water","2010-08-26","12:28:00","MDT",,,,,,,,,,,"GC11ZK00D","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"4.25","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001695","Sample-Routine","Water","Surface Water","2010-08-26","12:28:00","MDT",,,,,,,,,,,"GC11ZK00D","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"346","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001695","Sample-Routine","Water","Surface Water","2010-08-26","12:28:00","MDT",,,,,,,,,,,"GC11ZK00D","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","234","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01001695","Sample-Routine","Water","Surface Water","2010-08-26","12:28:00","MDT",,,,,,,,,,,"GC11ZK00D","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"1.30","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100240","Sample-Routine","Water","Surface Water","2010-10-07","16:04:00","MDT",,,,,,,,,,,"GC11ZK00D","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"253","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100240","Sample-Routine","Water","Surface Water","2010-10-07","16:04:00","MDT",,,,,,,,,,,"GC11ZK00D","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"64.0","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100240","Sample-Routine","Water","Surface Water","2010-10-07","16:04:00","MDT",,,,,,,,,,,"GC11ZK00D","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"11.8","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100240","Sample-Routine","Water","Surface Water","2010-10-07","16:04:00","MDT",,,,,,,,,,,"GC11ZK00D","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","251","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100240","Sample-Routine","Water","Surface Water","2010-10-07","16:04:00","MDT",,,,,,,,,,,"GC11ZK00D","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"3.88","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100240","Sample-Routine","Water","Surface Water","2010-10-07","16:04:00","MDT",,,,,,,,,,,"GC11ZK00D","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"1.18","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100341","Sample-Routine","Water","Surface Water","2010-11-19","11:02:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"55.5","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100341","Sample-Routine","Water","Surface Water","2010-11-19","11:02:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"5.4","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100341","Sample-Routine","Water","Surface Water","2010-11-19","11:02:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"166","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100341","Sample-Routine","Water","Surface Water","2010-11-19","11:02:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"3.57","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100341","Sample-Routine","Water","Surface Water","2010-11-19","11:02:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","261","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100341","Sample-Routine","Water","Surface Water","2010-11-19","11:02:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"1.09","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100340","Sample-Routine","Water","Surface Water","2011-01-06","13:32:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"1.13","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100340","Sample-Routine","Water","Surface Water","2011-01-06","13:32:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","337","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100340","Sample-Routine","Water","Surface Water","2011-01-06","13:32:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"3.72","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100340","Sample-Routine","Water","Surface Water","2011-01-06","13:32:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"213","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100340","Sample-Routine","Water","Surface Water","2011-01-06","13:32:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"-0.6","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100340","Sample-Routine","Water","Surface Water","2011-01-06","13:32:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"55.0","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100484","Sample-Routine","Water","Surface Water","2011-02-14","12:01:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"4.13","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100484","Sample-Routine","Water","Surface Water","2011-02-14","12:01:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"1.26","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100484","Sample-Routine","Water","Surface Water","2011-02-14","12:01:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"2.1","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100484","Sample-Routine","Water","Surface Water","2011-02-14","12:01:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"65.0","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100484","Sample-Routine","Water","Surface Water","2011-02-14","12:01:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"322","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100484","Sample-Routine","Water","Surface Water","2011-02-14","12:01:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","287","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100577","Sample-Routine","Water","Surface Water","2011-03-10","10:49:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"64.5","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100577","Sample-Routine","Water","Surface Water","2011-03-10","10:49:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"2.1","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100577","Sample-Routine","Water","Surface Water","2011-03-10","10:49:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"341","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100577","Sample-Routine","Water","Surface Water","2011-03-10","10:49:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"4.28","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100577","Sample-Routine","Water","Surface Water","2011-03-10","10:49:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","300","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100577","Sample-Routine","Water","Surface Water","2011-03-10","10:49:00","MST",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"1.30","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100907","Sample-Routine","Water","Surface Water","2011-06-03","13:19:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"9.9","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100907","Sample-Routine","Water","Surface Water","2011-06-03","13:19:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"1.58","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100907","Sample-Routine","Water","Surface Water","2011-06-03","13:19:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","255","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100907","Sample-Routine","Water","Surface Water","2011-06-03","13:19:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"710","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100907","Sample-Routine","Water","Surface Water","2011-06-03","13:19:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"55.0","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01100907","Sample-Routine","Water","Surface Water","2011-06-03","13:19:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"5.18","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01101298","Sample-Routine","Water","Surface Water","2011-08-16","07:26:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","215","uS/cm @25C",,"Accepted",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01101298","Sample-Routine","Water","Surface Water","2011-08-16","07:26:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Height, gage",,"4.69","ft",,"Accepted",,"Actual",,,,,,,"00065",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01101298","Sample-Routine","Water","Surface Water","2011-08-16","07:26:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"12.8","deg C",,"Accepted",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01101298","Sample-Routine","Water","Surface Water","2011-08-16","07:26:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Instream features, est. stream width",,"67.0","ft",,"Accepted",,"Actual",,,,,,,"00004",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01101298","Sample-Routine","Water","Surface Water","2011-08-16","07:26:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Gage height",,"1.43","m",,"Accepted",,"Actual",,,,,,,"30207",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01101298","Sample-Routine","Water","Surface Water","2011-08-16","07:26:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"439","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.01200026","Sample-Routine","Water","Surface Water","2011-10-03","08:21:00","MDT",,,,,,,,,,,"USGS",,"USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, instantaneous",,"238","ft3/s",,"Accepted",,"Actual",,,,,,,"00061",,,,,,,,,,,,,,,,
